name,kana,zip,prefecture,city,street,building,station,phone,genre,takeout,delivery,takeoutUrl,deliveryUrl,siteUrl,eatinUrl,emoney,credit,private,nosmoking,easyaccess,close,time,seats,lat,lng
ランタン 池尻大橋店,,,東京都,目黒区,東山3-1-11-106,,池尻大橋駅,0363030140,居酒屋・ダイニングバー,true,false,https://lanterne.jp,,https://lanterne.jp,https://lanterne.jp,false,false,false,false,false,,,,35.6507362,139.6855467
創作和食 零,,,東京都,大田区,仲六郷2-12-7ゲストハウス代田102,,雑色駅,0364248949,和食,true,false,https://www.washoku-zero.com/smart/,,https://www.washoku-zero.com/smart/,https://www.washoku-zero.com/smart/,false,false,false,false,false,,,,35.5512111,139.715024
トラットリア クレデンツァ,,,東京都,大田区,南久が原2-1-5シティ久が原2階,,久が原駅,0364102590,イタリアン,true,false,https://ihaveasae.wixsite.com/credenza,,https://ihaveasae.wixsite.com/credenza,https://ihaveasae.wixsite.com/credenza,false,false,false,false,false,,,,35.5802393,139.6860525
リゴレッティーノ,,,東京都,世田谷区,宮坂3-12-8地下1階,,経堂駅,0334391786,イタリアン,true,false,www.rigolettino.com,,www.rigolettino.com,www.rigolettino.com,false,false,false,false,false,,,,35.652457,139.636727
ブルックリンダイナー,,,東京都,世田谷区,駒沢1丁目5-9ニックアーバンハイム駒沢公園1F,,駒沢大学駅,0368052981,その他,true,false,https://brooklyndiner.net/,,https://brooklyndiner.net/,https://brooklyndiner.net/,false,false,false,false,false,,,,35.6321725,139.659837
櫻子,,,東京都,世田谷区,成城6丁目10-2成城ハナビル3階,,成城学園前駅,0334835296,その他,true,false,http://seijosakurako.blog77.fc2.com/,,http://seijosakurako.blog77.fc2.com/,http://seijosakurako.blog77.fc2.com/,false,false,false,false,false,,,,35.6405526,139.5986995
さんぱち食堂,,,東京都,世田谷区,南烏山6-27-1宿谷ビル101,,千歳烏山駅,0369091738,フレンチ,true,false,https://38shokudou.jimdofree.com/,,https://38shokudou.jimdofree.com/,https://38shokudou.jimdofree.com/,false,false,false,false,false,,,,35.6703463,139.5988687
ロブソンフライズ,,,東京都,世田谷区,北沢2丁目31-5,,下北沢駅,0364071485,ハンバーガー,true,false,https://www.robsonfries.com/,,https://www.robsonfries.com/,https://www.robsonfries.com/,false,false,false,false,false,,,,35.6625932,139.6678424
スパイラル,,,東京都,渋谷区,円山町14-2福富ビル1F,,神泉駅,0364161213,イタリアン,true,false,https://spiral-shibuya.com/,,https://spiral-shibuya.com/,https://spiral-shibuya.com/,false,false,false,false,false,,,,35.6581652,139.6943083
オールブルー (ALL Blue),,,東京都,渋谷区,恵比寿南1-7-8ニューライフ1F,,恵比寿駅,0357948383,和食,true,false,https://allblue-ebisu.owst.jp/,,https://allblue-ebisu.owst.jp/,https://allblue-ebisu.owst.jp/,false,false,false,false,false,,,,35.6460873,139.7098241
恵比寿 肉バル Salt(ソルト),,,東京都,渋谷区,恵比寿南1丁目3-2B1F,,恵比寿駅,0364510176,イタリアン,true,false,http://t-f-m.co.jp/shop/salt/,,http://t-f-m.co.jp/shop/salt/,http://t-f-m.co.jp/shop/salt/,false,false,false,false,false,,,,35.6456191,139.7081673
真希そば 渋谷店,,,東京都,渋谷区,渋谷1丁目14-9藤和宮益坂ビルB1,,渋谷駅,05034688222,和食,true,false,https://tabelog.com/tokyo/A1303/A130301/13040365/,,https://tabelog.com/tokyo/A1303/A130301/13040365/,https://tabelog.com/tokyo/A1303/A130301/13040365/,false,false,false,false,false,,,,35.6598175,139.7028844
GRAPES OMOTESANDO - CHEESE & CHOCOLATE,,,東京都,渋谷区,渋谷2-8-12ラ・グリスィーヌB1F,,表参道駅,0364274984,ワインバー,true,false,http://omotesando.grapes.tokyo,,http://omotesando.grapes.tokyo,http://omotesando.grapes.tokyo,false,false,false,false,false,,,,35.6607098,139.7077242
BISTRO kiki harajuku,,,東京都,渋谷区,神宮前6丁目9-9,,明治神宮前駅,07038823150,フレンチ,true,false,https://kikioishii.com/takeaway,,https://kikioishii.com/takeaway,https://kikioishii.com/takeaway,false,false,false,false,false,,,,35.6671415,139.7050351
スパイスMARKET,,,東京都,渋谷区,西原1-21-1,,幡ヶ谷駅,0364168550,タイ料理,true,false,https://spicemarket.jp/,,https://spicemarket.jp/,https://spicemarket.jp/,false,false,false,false,false,,,,35.676135,139.6774631
サルイアモール,,,東京都,渋谷区,代官山町12-19,,代官山駅,0354286488,スペイン料理,true,false,http://salyamor.com/,,http://salyamor.com/,http://salyamor.com/,false,false,false,false,false,,,,35.6508063,139.7035327
ROCCOMAN 渋谷道玄坂店,,,東京都,渋谷区,道玄坂2丁目15-1ノア道玄坂2F,,渋谷駅,05033745603,居酒屋・ダイニングバー,true,false,https://r.gnavi.co.jp/4zs5tk840000/,,https://r.gnavi.co.jp/4zs5tk840000/,https://r.gnavi.co.jp/4zs5tk840000/,false,false,false,false,false,,,,35.6582234,139.6962827
和香,,,東京都,中野区,新井1丁目8-7,,中野駅 薬師あいロード商店街,0363126232,居酒屋・ダイニングバー,true,false,https://www.ai-road.com/,,https://www.ai-road.com/,https://www.ai-road.com/,false,false,false,false,false,,,,35.7103765,139.666767
トラットリア エ ピッツェリア コニファー,,,東京都,杉並区,久我山3-24-22,,久我山駅,0332472530,イタリアン,true,false,http://www.trattoriaconifer.tokyo/,,http://www.trattoriaconifer.tokyo/,http://www.trattoriaconifer.tokyo/,false,false,false,false,false,,,,35.6870214,139.5988986
BashiBargerChance,,,東京都,豊島区,南池袋2-5-1島一ビル1F,,東池袋,0369143620,ハンバーガー,true,false,http://www.bashiburgerchance.com/index.html,,http://www.bashiburgerchance.com/index.html,http://www.bashiburgerchance.com/index.html,false,false,false,false,false,,,,35.724485,139.716188
焼酎酒場 BETTAKO,,,東京都,北区,滝野川6丁目84-10,,板橋駅,0353948033,居酒屋・ダイニングバー,true,false,https://ameblo.jp/bettako/,,https://ameblo.jp/bettako/,https://ameblo.jp/bettako/,false,false,false,false,false,,,,35.7464579,139.7215529
レクルール,,,東京都,板橋区,成増1-12-8,,成増駅,0342856387,フレンチ,true,false,http://www.lescouleurs.jp,,http://www.lescouleurs.jp,http://www.lescouleurs.jp,false,false,false,false,false,,,,35.7748364,139.6323715
ギャラリー工房カフェ あお木,,,東京都,練馬区,中村北3丁目23-6青木ビル7階,,中村橋駅,0339992814,カフェレストラン,true,false,https://gallerykouboucafe-aoki.owst.jp,,https://gallerykouboucafe-aoki.owst.jp,https://gallerykouboucafe-aoki.owst.jp,false,false,false,false,false,,,,35.7366495,139.638335
こそだて喫茶cotoca,,,東京都,足立区,千住2-18,,北千住駅,0363202736,ベジ・ヴィーガン,true,false,https://cotoca-senju.jp,,https://cotoca-senju.jp,https://cotoca-senju.jp,false,false,false,false,false,,,,35.7506208,139.8011934
パスタバル マルナカ商店,,,東京都,葛飾区,亀有3-21-1,,亀有駅,0366629396,イタリアン,true,false,https://r.gnavi.co.jp/mhvb5a950000/,,https://r.gnavi.co.jp/mhvb5a950000/,https://r.gnavi.co.jp/mhvb5a950000/,false,false,false,false,false,,,,35.7653382,139.847949
フォーシーズンズカフェ,,,東京都,江戸川区,西葛西6丁目5-12,,西葛西駅,0336891173,カフェレストラン,true,false,http://www.fourseasons-cafe.com/sp/,,http://www.fourseasons-cafe.com/sp/,http://www.fourseasons-cafe.com/sp/,false,false,false,false,false,,,,35.6638254,139.8573487
居酒屋台 中松,,,東京都,江戸川区,中葛西3-35-2FPビル3F,,葛西駅,0368083979,鍋料理,true,false,https://www.hotpepper.jp/strJ001146023/,,https://www.hotpepper.jp/strJ001146023/,https://www.hotpepper.jp/strJ001146023/,false,false,false,false,false,,,,35.664023,139.871915
洋食ことり亭,,,東京都,八王子市,みなみ野3-11-4,,八王子みなみ野駅,0426361081,洋食,true,false,https://kotoritei.com,,https://kotoritei.com,https://kotoritei.com,false,false,false,false,false,,,,35.6312175,139.3257439
吉祥寺 Mojo Cafe(モジョカフェ),,,東京都,武蔵野市,吉祥寺本町1-12-42,,吉祥寺駅,05034616593,カレー,true,false,http://mojocafe.info/,,http://mojocafe.info/,http://mojocafe.info/,false,false,false,false,false,,,,35.7058346,139.5813201
エクラ,,,東京都,武蔵野市,吉祥寺本町2-24-1キューブB1,,吉祥寺,0422276171,フレンチ,true,false,http://french-eclat.com/,,http://french-eclat.com/,http://french-eclat.com/,false,false,false,false,false,,,,35.703772,139.574971
日本酒や,,,東京都,武蔵野市,吉祥寺本町2丁目2−7−13,,吉祥寺駅,0422201722,和食,true,false,http://web-farmer.jp,,http://web-farmer.jp,http://web-farmer.jp,false,false,false,false,false,,,,35.7042917,139.5773542
SITAL 三鷹店,,,東京都,武蔵野市,中町1-17-2,,三鷹駅,0422566733,カレー,true,false,https://tabelog.com/tokyo/A1320/A132002/13194070/,,https://tabelog.com/tokyo/A1320/A132002/13194070/,https://tabelog.com/tokyo/A1320/A132002/13194070/,false,false,false,false,false,,,,35.7042884,139.5613988
ワイン食堂 Boulevard,,,東京都,青梅市,河辺町10丁目1-1-12,,河辺駅,0428840342,ワインバー,true,false,http://wine-curry.tokyo/,,http://wine-curry.tokyo/,http://wine-curry.tokyo/,false,false,false,false,false,,,,35.785083,139.284096
ビーメスワール,,,東京都,府中市,本町2丁目6-14,,府中本町駅,05033143473,カレー,true,false,https://r.gnavi.co.jp/nata8e7n0000/,,https://r.gnavi.co.jp/nata8e7n0000/,https://r.gnavi.co.jp/nata8e7n0000/,false,false,false,false,false,,,,35.6671029,139.4748989
キックバックカフェ,,,東京都,調布市,若葉町2-11-1パークスクエア1階,,仙川駅,0353841577,ベジ・ヴィーガン,true,false,http://www.kickbackcafe.jp/,,http://www.kickbackcafe.jp/,http://www.kickbackcafe.jp/,false,false,false,false,false,,,,35.6587824,139.5876068
青のこと,,,東京都,調布市,布田1-14-12,,調布駅,0424444347,和食,true,false,http://www.tsuchitoao.com,,http://www.tsuchitoao.com,http://www.tsuchitoao.com,false,false,false,false,false,,,,35.6540035,139.5464919
ランコントル,,,東京都,国立市,中1-16-72メラージュ富士102,,国立駅,0425741811,フレンチ,true,false,https://la-rencontre.gorp.jp/,,https://la-rencontre.gorp.jp/,https://la-rencontre.gorp.jp/,false,false,false,false,false,,,,35.6971492,139.4439593
同心居 清瀬店,,,東京都,清瀬市,元町1-1-20第1KSビル,,清瀬駅,0424960808,中華料理,true,false,http://www.tonshinju.jp/tonshinju,,http://www.tonshinju.jp/tonshinju,http://www.tonshinju.jp/tonshinju,false,false,false,false,false,,,,35.773055,139.5228153
横浜 鳥ぎん みなとみらい店,,,神奈川県,横浜市中区,桜木町1-101-1クロスゲートビル3F,,桜木町駅,0452100311,焼き鳥,true,false,https://www.torigin.com/,,https://www.torigin.com/,https://www.torigin.com/,false,false,false,false,false,,,,35.4507283,139.6326784
DELHI Dining デリーダイニング,,,神奈川県,横浜市中区,山下町207関内JSビル1F,,関内駅,0456339393,カレー,true,false,https://tabelog.com/kanagawa/A1401/A140104/14045727/,,https://tabelog.com/kanagawa/A1401/A140104/14045727/,https://tabelog.com/kanagawa/A1401/A140104/14045727/,false,false,false,false,false,,,,35.442954000000007,139.642077
SHIMOMURA,,,神奈川県,横浜市中区,石川町3-107,,石川町駅,0452638989,和食,true,false,https://www.shimomura-kunikazu.com/,,https://www.shimomura-kunikazu.com/,https://www.shimomura-kunikazu.com/,false,false,false,false,false,,,,35.4374482,139.6411543
麺場ハマトラ日吉店,,,神奈川県,横浜市港北区,日吉本町1-6-21日吉黒田ビル1階,,日吉駅,0455648618,ラーメン・つけ麺,true,false,http://hamatora.co.jp/,,http://hamatora.co.jp/,http://hamatora.co.jp/,false,false,false,false,false,,,,35.5553743,139.6451494
Bマーリン,,,神奈川県,横浜市泉区,領家3-12-9,,戸塚駅,0458121993,イタリアン,true,false,https://www.google.co.jp/amp/s/s.tabelog.com/kanagawa/A1401/A140304/14023112/top_amp/,,https://www.google.co.jp/amp/s/s.tabelog.com/kanagawa/A1401/A140304/14023112/top_amp/,https://www.google.co.jp/amp/s/s.tabelog.com/kanagawa/A1401/A140304/14023112/top_amp/,false,false,false,false,false,,,,35.4205549,139.523565
2bananeira.(ドイスバナネイラ),,,神奈川県,横浜市青葉区,柿の木台3-20,,藤が丘駅,0454827871,ベジ・ヴィーガン,true,false,http://2bananeira.com/,,http://2bananeira.com/,http://2bananeira.com/,false,false,false,false,false,,,,35.5476812,139.5258763
厨 lot eat,,,神奈川県,横須賀市,芦名2-8-45,,逗子駅,0468848282,カフェレストラン,true,false,https://loteat.com/,,https://loteat.com/,https://loteat.com/,false,false,false,false,false,,,,35.2351238,139.6166118
蕎麦・酒 青海波,,,神奈川県,鎌倉市,浄明寺4-2-31,,鎌倉駅,0467233777,そば・うどん,true,false,http://www.seikaiha.info/,,http://www.seikaiha.info/,http://www.seikaiha.info/,false,false,false,false,false,,,,35.3192451,139.5738961
ポポロ,,,神奈川県,藤沢市,善行7-5-4,,善行駅,0466827903,洋食,true,false,http://www.cityfujisawa.ne.jp/~popolo/,,http://www.cityfujisawa.ne.jp/~popolo/,http://www.cityfujisawa.ne.jp/~popolo/,false,false,false,false,false,,,,35.3636108,139.4734331
Cafe de TRONC ~カフェ ド トロン~,,,神奈川県,藤沢市,大庭5349-7-104,,辻堂駅,0466904474,カフェレストラン,true,false,http://tronc.iza-yoi.net/,,http://tronc.iza-yoi.net/,http://tronc.iza-yoi.net/,false,false,false,false,false,,,,35.3645647,139.4418506
SUGITA,,,神奈川県,茅ケ崎市,松が丘2-10-40,,茅ヶ崎駅,0467678768,フレンチ,true,false,http://te.nyanta.jp/sugita/,,http://te.nyanta.jp/sugita/,http://te.nyanta.jp/sugita/,false,false,false,false,false,,,,35.325192,139.4248589
